"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.80120043149879e-18,0.406885987073204,0.864,0.797,1.45695219258671e-13,"3","Gm10076"
9.0064806308212e-18,1.18477730986559,0.255,0.132,1.68205032261217e-13,"3","Mcf2l"
9.1820016441218e-18,0.771571466463369,0.447,0.304,1.71483062705619e-13,"3","Pls3"
1.02301837727751e-17,1.02048403539227,0.28,0.151,1.91058912140347e-13,"3","Ddc"
1.30498136343828e-17,0.829683472205244,0.396,0.259,2.43718319435733e-13,"3","Pik3ip1"
2.26019614038505e-17,0.443072662755966,0.761,0.661,4.22114231178312e-13,"3","Hnrnpf"
2.62600103300281e-17,0.41844166628399,0.786,0.696,4.90431952923604e-13,"3","Rhoa"
3.15279946596798e-17,0.339194579926875,0.882,0.829,5.88816828264181e-13,"3","Tpt1"
3.24727600803061e-17,0.603884981192446,0.444,0.299,6.06461267259796e-13,"3","AW112010"
4.17164524654154e-17,0.488470074920096,0.743,0.64,7.79096466244097e-13,"3","Tsc22d3"
6.76752556864411e-17,0.337059749570921,0.625,0.47,1.26390307519997e-12,"3","Vim"
7.07665012962666e-17,1.43423625131695,0.173,0.073,1.32163517820908e-12,"3","Cdkn2b"
1.20723441822966e-16,0.88296530681399,0.338,0.207,2.25463099948571e-12,"3","Oasl2"
1.34048048520474e-16,1.14447977536064,0.255,0.138,2.50348135416837e-12,"3","Parvb"
1.46836783060316e-16,0.379274940453437,0.697,0.546,2.74232376043447e-12,"3","Ifitm2"
1.52023602675656e-16,0.545527779570486,0.688,0.6,2.83919280357055e-12,"3","Eif3f"
1.62443402285241e-16,0.312417739940215,0.929,0.9,3.03379298107915e-12,"3","Uba52"
1.63088577386195e-16,0.467238533369908,0.756,0.672,3.04584227126458e-12,"3","Ndufa7"
1.83217512545582e-16,0.934963024967567,0.339,0.211,3.42177026430129e-12,"3","4931406P16Rik"
2.0251128896583e-16,0.751246485574942,0.404,0.266,3.78210083272584e-12,"3","Nkd1"
2.42905436124817e-16,0.559273694360857,0.594,0.48,4.53650192506709e-12,"3","Psma6"
2.59359543553059e-16,0.83575387694499,0.415,0.288,4.84379883539694e-12,"3","Cxx1a"
2.89549066152777e-16,0.606824625166326,0.505,0.367,5.40761835946926e-12,"3","Fermt2"
3.57900028036339e-16,0.756531100023632,0.409,0.274,6.68414092360667e-12,"3","Grap"
3.60994863122162e-16,0.775923384378856,0.438,0.312,6.7419400636695e-12,"3","Ifit3"
4.18613907703007e-16,0.958902536984265,0.284,0.163,7.81803334026137e-12,"3","Vwf"
5.2304570186954e-16,0.690276138370344,0.465,0.334,9.76840152811553e-12,"3","Isyna1"
5.24681881731389e-16,0.848753843035998,0.361,0.232,9.79895882321542e-12,"3","Tjp1"
5.75477123416578e-16,0.820683392452518,0.434,0.308,1.0747610756928e-11,"3","Ier3"
8.22597818492092e-16,0.973449342736469,0.266,0.149,1.53628368581583e-11,"3","Bvht"
9.34375397835453e-16,1.36352830929501,0.178,0.08,1.74503949299749e-11,"3","Clic5"
1.08314295640191e-15,1.23589255240217,0.19,0.088,2.0228777853762e-11,"3","Proser2"
1.21748031915329e-15,0.432950323409638,0.717,0.598,2.27376624405069e-11,"3","Anxa3"
1.32151726576019e-15,0.267519177137779,0.97,0.932,2.46806564553373e-11,"3","Ptma"
1.33118388559379e-15,0.353216054902976,0.827,0.734,2.48611902473496e-11,"3","Gnas"
1.44032845620466e-15,1.11147023103467,0.232,0.121,2.68995742480782e-11,"3","Ppfibp1"
1.73072924752252e-15,0.419560795110444,0.775,0.703,3.23230994267306e-11,"3","Rps20"
3.2095584910951e-15,0.975399095408253,0.281,0.167,5.99417143796922e-11,"3","Eogt"
3.41929489124189e-15,0.868905423616881,0.335,0.213,6.38587513888336e-11,"3","Mfsd2a"
3.50551935372356e-15,0.726619310619938,0.426,0.296,6.54690794501412e-11,"3","Bcam"
3.80640946328053e-15,0.775493951917471,0.386,0.259,7.10885031362271e-11,"3","Luzp1"
4.29827724144373e-15,1.26061770989222,0.204,0.102,8.02746257612031e-11,"3","4430402I18Rik"
4.77239331854403e-15,0.899248375460112,0.255,0.142,8.91292176171283e-11,"3","Iigp1"
5.30147535130585e-15,1.30268164327226,0.179,0.083,9.90103536609881e-11,"3","St8sia4"
5.92915816402268e-15,1.01666233617536,0.226,0.119,1.10732957871288e-10,"3","Gjc1"
